LeadTime,Adults,Children,PreviousCancellations,PreviousBookingsNotCanceled,DaysInWaitingList,TotalNights,HasBabies,HasMeals,HasParking,CustomerType_Transient,CustomerType_Transient-Party,DistributionChannel_Direct,DistributionChannel_TA/TO,StayType_Weekend,StayType_Mixed,DepositType_Non Refund,DepositType_Refundable,IsCanceled
114,2,0,0,0,0,7,0,1,0,True,False,False,True,False,True,False,False,0
45,2,0,0,0,0,6,0,1,0,True,False,False,True,False,True,False,False,0
44,2,0,0,0,0,5,0,1,0,True,False,False,True,False,True,False,False,1
0,3,1,0,0,0,1,0,1,1,True,False,False,True,False,False,False,False,0
2,1,0,0,0,0,1,0,1,0,True,False,True,False,False,False,False,False,0
31,2,0,0,0,0,6,0,1,0,True,False,False,True,False,True,False,False,0
266,1,0,0,0,0,6,0,1,0,False,True,False,True,False,True,False,False,0
9,1,0,0,3,0,1,0,1,0,True,False,False,False,False,False,False,False,0
285,2,0,0,0,0,7,0,1,0,True,False,False,True,False,True,False,False,1
43,2,0,0,0,0,6,0,1,0,True,False,False,True,False,True,False,False,0
0,2,0,0,0,0,2,0,1,1,True,False,True,False,False,True,False,False,0
227,2,0,0,0,0,10,0,1,0,True,False,False,True,False,True,False,False,1
159,1,0,0,0,0,4,0,1,0,False,True,False,False,False,True,False,False,0
1,1,0,0,4,0,2,0,1,0,True,False,False,False,False,False,False,False,0
66,2,0,0,0,0,8,0,1,0,True,False,False,True,False,True,False,False,1
0,3,0,0,0,0,1,0,1,0,False,True,False,True,False,False,False,False,0
16,2,0,0,0,0,4,0,1,0,True,False,False,True,False,False,False,False,0
150,2,0,0,0,0,7,0,1,0,True,False,True,False,False,True,False,False,1
5,2,0,0,0,0,3,0,1,0,True,False,False,True,False,False,False,False,0
1,2,0,0,0,0,1,0,1,1,True,False,False,True,False,False,False,False,0
21,3,0,0,0,0,4,0,1,0,True,False,False,True,False,False,False,False,0
195,2,1,0,0,0,7,0,1,0,True,False,True,False,False,True,False,False,1
57,2,0,0,0,0,7,0,1,0,True,False,False,True,False,True,False,False,0
43,2,0,0,0,0,5,0,1,0,True,False,False,True,False,True,False,False,0
4,2,2,0,0,0,3,0,1,1,True,False,False,True,False,True,False,False,0
66,2,0,0,0,0,3,0,1,1,True,False,False,True,False,False,False,False,0
1,2,0,0,3,0,1,0,1,0,True,False,False,False,False,False,False,False,0
84,1,0,0,0,0,6,0,1,0,False,True,True,False,False,True,False,False,0
6,2,0,0,0,0,1,0,1,1,True,False,False,True,False,False,False,False,0
72,2,2,0,0,0,4,0,1,0,True,False,False,True,False,True,False,False,1
79,2,0,0,0,0,4,0,1,0,True,False,False,True,False,True,False,False,0
1,2,0,0,0,0,1,0,1,0,True,False,False,True,True,False,False,False,0
80,2,0,0,0,0,38,0,1,0,False,True,False,True,False,True,False,False,0
47,2,0,0,0,0,2,0,1,0,True,False,False,True,False,True,False,False,0
13,2,0,0,0,0,5,0,1,0,True,False,False,True,False,True,False,False,0
4,1,0,0,3,0,1,0,1,0,True,False,False,False,False,False,False,False,0
109,2,0,0,0,0,7,0,1,0,True,False,False,True,False,True,False,False,1
152,1,0,0,0,0,5,0,1,0,False,True,False,True,False,True,False,False,0
5,1,0,0,3,0,1,0,1,0,True,False,False,False,False,False,False,False,0
154,2,0,0,0,0,6,0,1,1,True,False,False,True,False,True,False,False,0
8,2,0,0,0,0,3,0,1,0,False,True,False,False,False,True,False,False,0
177,2,0,0,0,0,6,0,1,0,True,False,True,False,False,True,False,False,0
57,2,0,0,0,0,10,0,1,0,True,False,False,True,False,True,False,False,0
46,3,1,0,0,0,1,0,1,0,True,False,False,True,False,False,False,False,1
61,2,0,0,0,0,3,0,1,0,True,False,True,False,False,False,False,False,0
9,2,0,0,0,0,2,0,1,1,False,False,True,False,False,True,False,False,0
5,1,0,0,1,0,4,0,1,0,True,False,False,False,False,True,False,False,0
1,1,0,0,0,0,2,0,1,1,True,False,True,False,False,False,False,False,0
170,2,0,0,0,0,7,0,1,0,False,False,False,True,False,True,False,False,0
5,1,0,0,0,0,1,0,1,0,True,False,False,True,False,False,False,False,0
156,3,0,0,0,0,7,1,1,0,True,False,True,False,False,True,False,False,1
1,1,0,0,0,0,2,0,1,0,True,False,False,True,False,False,False,False,0
7,2,0,0,0,0,1,0,1,1,True,False,False,True,True,False,False,False,0
159,2,0,0,0,0,7,0,1,0,True,False,False,True,False,True,False,False,1
17,2,0,0,0,0,3,0,1,0,True,False,False,True,False,True,False,False,0
173,2,0,0,0,0,7,0,1,0,True,False,False,True,False,True,False,False,0
109,2,0,0,0,0,2,0,1,0,True,False,False,True,False,True,False,False,0
43,1,0,0,0,0,1,0,1,0,True,False,False,True,False,False,False,False,1
114,2,0,0,0,0,6,0,1,1,True,False,True,False,False,True,False,False,0
8,2,0,0,0,0,7,0,1,0,False,False,False,True,False,True,False,False,0
192,2,0,0,0,0,14,0,1,0,False,False,False,True,False,True,False,False,0
62,2,0,0,0,0,4,0,1,0,False,True,False,True,False,True,False,False,0
74,3,0,0,0,0,2,0,1,0,True,False,False,True,False,True,False,False,0
4,2,0,0,0,0,4,0,1,0,True,False,False,True,False,False,False,False,0
3,1,0,0,0,0,1,0,1,0,True,False,False,False,True,False,False,False,0
12,2,0,0,0,0,2,0,1,0,True,False,False,True,False,True,False,False,0
19,2,0,0,0,0,3,0,1,1,True,False,False,True,False,False,False,False,0
128,2,0,0,0,0,2,0,1,1,True,False,True,False,False,False,False,False,0
86,2,0,0,0,0,7,0,1,0,True,False,False,True,False,True,False,False,1
150,2,0,0,0,0,14,0,1,0,False,False,False,True,False,True,False,False,0
56,2,0,0,0,0,4,0,1,0,False,True,False,True,False,True,False,False,1
21,2,1,0,0,0,2,0,1,0,True,False,False,True,False,False,False,False,0
72,2,2,0,0,0,3,0,1,0,True,False,False,True,False,True,False,False,1
0,1,0,0,1,0,1,0,1,0,False,False,False,False,False,False,False,False,0
121,2,0,0,0,0,4,0,1,0,True,False,False,True,False,True,False,False,0
31,3,0,0,0,0,5,0,1,0,True,False,False,True,False,True,False,False,0
0,2,0,0,0,0,1,0,1,1,True,False,True,False,False,False,False,False,0
123,3,0,0,0,0,2,0,1,0,True,False,False,True,False,False,False,False,0
178,2,0,0,0,0,4,0,1,0,True,False,False,True,False,True,False,False,0
2,2,0,0,0,0,6,0,1,0,True,False,False,True,False,True,False,False,0
48,2,0,0,0,0,3,0,1,0,True,False,True,False,False,True,False,False,0
11,1,0,0,0,0,4,0,1,1,True,False,False,True,False,True,False,False,0
7,1,0,0,0,0,1,0,1,0,False,True,False,True,False,False,False,False,0
41,2,0,0,0,0,5,0,1,1,True,False,True,False,False,True,False,False,0
33,2,1,0,1,0,6,0,1,0,True,False,True,False,False,True,False,False,0
148,2,0,0,0,0,3,0,1,1,True,False,False,True,False,True,False,False,0
0,2,0,0,0,0,4,0,1,0,True,False,True,False,False,True,False,False,0
